Ref,Val,Package,PosX,PosY,Rot,Side
C1,1uF,C_0402,11.9,6.9,270,top
C2,470pF,C_0402,6.4,8.45,270,top
C3,4.7uF,C_0402,26.3,22.4,0,top
C4,0.33uF,C_0402,16.25,14,180,top
C5,0.1uF,C_0402,20.05,24.875,90,top
C6,2.2uF,C_0402,10.85,11.4,0,top
C7,100nF,C_0402,13.4,33.7,270,top
C8,10uF,C_0402,15.225,33.725,270,top
C10,1uF,C_0402,29,31.425,270,top
D1,LTST-C191KRKT,D_0603,23.25,24.65,0,top
D2,LTST-C191KGKT,D_0603,23.25,26.2,0,top
D3,VESD05A1-02V-G-08,D_SOD-523,13.4,6.8,270,top
D4,BZT585B3V3T-7,D_SOD-523,11,14.55,0,top
D5,LTST-C191KGKT,D_0603,9.45,31.2,180,top
D6,L130-5780001400001,D_1206,9.4,35.8,180,top
D7,ESD5Z3.3T1G,D_SOD-523,11,12.7,0,top
D8,ESDA6V1-5SC6,SOT-23-6,33.675,17.15,270,top
J1,USB_B_Micro,USB_Micro-B_Molex-105017-0001,19.9,1.8,0,top
JP1,RC0402JR-070RL,R_0402,28.15,24.9,180,top
JP2,RC0402JR-070RL,R_0402,28.15,26.2,180,top
JP3,RC0402JR-070RL,R_0402,33.6,23.8,0,top
R1,22,R_0402,20.575,13.35,270,top
R2,22,R_0402,19.3,13.35,270,top
R3,R,R_0402,25.9,24.9,180,top
R4,R,R_0402,25.9,26.2,180,top
R7,10K,R_0402,26.075,38.3,180,top
R8,10K,R_0402,25.525,36,270,top
R9,10K,R_0402,31.1,34.725,0,top
R10,10K,R_0402,33.6,24.9,180,top
R11,10K,R_0402,17.05,29.55,0,top
U1,MCP2221,SOIC-14_N,20.05,19.35,180,top
U2,MIC5219-3.3YMM,SOT-23-5,9.2,8.65,180,top
U3,TPD2EUSB30,Texas_DRT-3,19.575,9.7,180,top
U7,AT25SF041,SOIC-8-N,32.5,30.05,0,top
